"study_site","depth_maps_generation_quality","depth_maps_generation_filtering_mode","total_sparse_point_cloud_processing_time_mins","total_dense_point_cloud_processing_time_mins","dense_point_cloud_points","dense_cloud_generation_file_size_mb","x_error_m","y_error_m","z_error_m","xy_error_m","total_error_m","number_of_images","flying_altitude_m","tie_points","ground_resolution_cm_pix","coverage_area_km2","reprojection_error_pix","general_cameras","general_aligned_cameras","general_coordinate_system","general_rotation_angles","point_cloud_points","point_cloud_rms_reprojection_error","point_cloud_max_reprojection_error","point_cloud_mean_key_point_size","point_cloud_point_colors","point_cloud_key_points","point_cloud_average_tie_point_multiplicity","alignment_accuracy","alignment_generic_preselection","alignment_reference_preselection","alignment_key_point_limit","alignment_tie_point_limit","alignment_guided_image_matching","alignment_adaptive_camera_model_fitting","alignment_matching_time_mins","alignment_matching_memory_usage_mb","alignment_alignment_time_mins","alignment_alignment_memory_usage_mb","alignment_software_version","alignment_file_size_mb","depth_maps_count","depth_maps_generation_processing_time_mins","depth_maps_generation_memory_usage_mb","depth_maps_generation_software_version","depth_maps_generation_file_size_mb","dense_point_cloud_point_colors","dense_cloud_generation_processing_time_mins","dense_cloud_generation_memory_usage_mb","dense_cloud_generation_software_version"
"KAIBAB_HIGH","Ultra High","Aggressive",1.6,208,225918417,3160,1.42052,1.02961,0.475722,1.75441,1.81777,132,94.1,109282,2.29,0.0397,0.704,132,132,"w gs 84 (epsg::4326)","yaw, pitch, roll","109,282 of 118,009","0.149663 (0.703638 pix)","0.453748 (34.8372 pix)","3.80033 pix","3 bands, uint8","no","3.56183","high","yes","source","40,000","4,000","no","yes",1.11666666666667,375.78,0.483333333333333,66.08,"1.6.4.10928",9.27,132,62,6090,"1.6.4.10928",1940,"3 bands, uint8",146,31400,"1.6.4.10928"
"KAIBAB_HIGH","Ultra High","Moderate",1.6,231,305690646,4290,1.42052,1.02961,0.475722,1.75441,1.81777,132,94.1,109282,2.21,0.0402,0.704,132,132,"w gs 84 (epsg::4326)","yaw, pitch, roll","109,282 of 118,009","0.149663 (0.703638 pix)","0.453748 (34.8372 pix)","3.80033 pix","3 bands, uint8","no","3.56183","high","yes","source","40,000","4,000","no","yes",1.11666666666667,375.78,0.483333333333333,66.08,"1.6.4.10928",9.27,132,63,6210,"1.6.4.10928",2700,"3 bands, uint8",168,31890,"1.6.4.10928"
"KAIBAB_HIGH","Ultra High","Mild",1.6,205,295828394,4150,1.42052,1.02961,0.475722,1.75441,1.81777,132,94.1,109282,2.22,0.0398,0.704,132,132,"w gs 84 (epsg::4326)","yaw, pitch, roll","109,282 of 118,009","0.149663 (0.703638 pix)","0.453748 (34.8372 pix)","3.80033 pix","3 bands, uint8","no","3.56183","high","yes","source","40,000","4,000","no","yes",1.11666666666667,375.78,0.483333333333333,66.08,"1.6.4.10928",9.27,132,64,6180,"1.6.4.10928",2530,"3 bands, uint8",141,31730,"1.6.4.10928"
"KAIBAB_HIGH","Ultra High","Disabled",1.6,221,314989231,4430,1.42052,1.02961,0.475722,1.75441,1.81777,132,94.1,109282,2.2,0.0405,0.704,132,132,"w gs 84 (epsg::4326)","yaw, pitch, roll","109,282 of 118,009","0.149663 (0.703638 pix)","0.453748 (34.8372 pix)","3.80033 pix","3 bands, uint8","no","3.56183","high","yes","source","40,000","4,000","no","yes",1.11666666666667,375.78,0.483333333333333,66.08,"1.6.4.10928",9.27,132,64,6220,"1.6.4.10928",2970,"3 bands, uint8",157,31890,"1.6.4.10928"
"KAIBAB_HIGH","High","Aggressive",1.6,53.2,52974294,760.56,1.42052,1.02961,0.475722,1.75441,1.81777,132,94.1,109282,2.26,0.0396,0.704,132,132,"w gs 84 (epsg::4326)","yaw, pitch, roll","109,282 of 118,009","0.149663 (0.703638 pix)","0.453748 (34.8372 pix)","3.80033 pix","3 bands, uint8","no","3.56183","high","yes","source","40,000","4,000","no","yes",1.11666666666667,375.78,0.483333333333333,66.08,"1.6.4.10928",9.27,132,15.25,1930,"1.6.4.10928",611,"3 bands, uint8",37.95,8140,"1.6.4.10928"
"KAIBAB_HIGH","High","Moderate",1.6,63.4666666666666,69825916,1004.16,1.42052,1.02961,0.475722,1.75441,1.81777,132,94.1,109282,2.19,0.0399,0.704,132,132,"w gs 84 (epsg::4326)","yaw, pitch, roll","109,282 of 118,009","0.149663 (0.703638 pix)","0.453748 (34.8372 pix)","3.80033 pix","3 bands, uint8","no","3.56183","high","yes","source","40,000","4,000","no","yes",1.11666666666667,375.78,0.483333333333333,66.08,"1.6.4.10928",9.27,132,15.4333333333333,2020,"1.6.4.10928",814.16,"3 bands, uint8",48.0333333333333,8120,"1.6.4.10928"
"KAIBAB_HIGH","High","Mild",1.6,54.3333333333333,69858217,1004.88,1.42052,1.02961,0.475722,1.75441,1.81777,132,94.1,109282,2.2,0.0396,0.704,132,132,"w gs 84 (epsg::4326)","yaw, pitch, roll","109,282 of 118,009","0.149663 (0.703638 pix)","0.453748 (34.8372 pix)","3.80033 pix","3 bands, uint8","no","3.56183","high","yes","source","40,000","4,000","no","yes",1.11666666666667,375.78,0.483333333333333,66.08,"1.6.4.10928",9.27,132,15.8,1870,"1.6.4.10928",775.67,"3 bands, uint8",38.5333333333333,8100,"1.6.4.10928"
"KAIBAB_HIGH","High","Disabled",1.6,58.7166666666667,72549206,1020,1.42052,1.02961,0.475722,1.75441,1.81777,132,94.1,109282,2.18,0.0399,0.704,132,132,"w gs 84 (epsg::4326)","yaw, pitch, roll","109,282 of 118,009","0.149663 (0.703638 pix)","0.453748 (34.8372 pix)","3.80033 pix","3 bands, uint8","no","3.56183","high","yes","source","40,000","4,000","no","yes",1.11666666666667,375.78,0.483333333333333,66.08,"1.6.4.10928",9.27,132,15.8166666666667,2020,"1.6.4.10928",868.53,"3 bands, uint8",42.9,8170,"1.6.4.10928"
"KAIBAB_HIGH","Medium","Aggressive",1.6,15.3833333333334,13124591,188.41,1.42052,1.02961,0.475722,1.75441,1.81777,132,94.1,109282,2.24,0.0382,0.704,132,132,"w gs 84 (epsg::4326)","yaw, pitch, roll","109,282 of 118,009","0.149663 (0.703638 pix)","0.453748 (34.8372 pix)","3.80033 pix","3 bands, uint8","no","3.56183","high","yes","source","40,000","4,000","no","yes",1.11666666666667,375.78,0.483333333333333,66.08,"1.6.4.10928",9.27,132,4.21666666666667,628.7,"1.6.4.10928",175.9,"3 bands, uint8",11.1666666666667,3090,"1.6.4.10928"
"KAIBAB_HIGH","Medium","Moderate",1.6,16.7666666666667,16754978,240.86,1.42052,1.02961,0.475722,1.75441,1.81777,132,94.1,109282,2.16,0.0389,0.704,132,132,"w gs 84 (epsg::4326)","yaw, pitch, roll","109,282 of 118,009","0.149663 (0.703638 pix)","0.453748 (34.8372 pix)","3.80033 pix","3 bands, uint8","no","3.56183","high","yes","source","40,000","4,000","no","yes",1.11666666666667,375.78,0.483333333333333,66.08,"1.6.4.10928",9.27,132,4.21666666666667,704.75,"1.6.4.10928",238.08,"3 bands, uint8",12.55,3450,"1.6.4.10928"
