"","Site","Software","Keypoint Image Scale","Depth Map Quality","Filtering Mode","Alt (m)","Speed (m/s)","Forward Overlap","Side Overlap","Photo Count","Ortho Size (MB)","PC Size (MB)","Total Generation Time (min)","PC Total Number","X Error (m)","Y Error (m)","Z Error (m)","Total Error (m)","Initial Proc. Time (min)","Point Cloud Densification (min)","Ortho Generation (min)"
"1","Kaibab_high","OpenDroneMap",NA,"High","High",97,3,90,90,132,53.9,91.8,309.48,22003356,1.427,"1.0429999999999999",0.48,1.464,NA,NA,NA
"2","Kaibab_low","OpenDroneMap",NA,"High","High",99,4,90,90,153,56.3,98.3,400.04,26948103,0.037,"0.05",0.125,0.075,NA,NA,NA
"3","WA85-02","OpenDroneMap",NA,"High","High",80,4,90,85,144,53.2,101.7,295.83,27550605,0.037,"5.2999999999999999E-2",0.093,0.059,NA,NA,NA
"4","N1","OpenDroneMap",NA,"High","High",90,4,90,90,154,56.9,104.7,435.52,25934311,0.031,"0.02",0.068,0.049,NA,NA,NA
"5","SQ02-04","OpenDroneMap",NA,"High","High",80,90,85,4,157,60,109.8,333.9,30514077,0.064,"4.9000000000000002E-2",0.186,0.092,NA,NA,NA
"6","SQ09-02","OpenDroneMap",NA,"High","High",80,4,90,85,157,60.1,110,356.17,30886910,0.051,"4.2999999999999997E-2",0.148,0.083,NA,NA,NA
"7","Kaibab_low","OpenDroneMap",NA,"High","Low",99,4,90,90,153,57.3,97.5,206.2,25726495,0.202,"0.27500000000000002",0.565,0.309,NA,NA,NA
"8","WA85-02","OpenDroneMap",NA,"High","Low",80,4,90,85,144,53,100.6,181.2,27111440,2.24,"9..48",0.611,0.639,NA,NA,NA
"9","Kaibab_high","OpenDroneMap",NA,"High","Low",97,3,90,90,132,56.3,101.1,185.02,23876564,0.126,"1.1850000000000001",0.419,0.247,NA,NA,NA
"10","SQ09-02","OpenDroneMap",NA,"High","Low",80,4,90,85,157,59,105.2,210.74,29162550,0.198,"0.14399999999999999",0.513,0.296,NA,NA,NA
"11","SQ02-04","OpenDroneMap",NA,"High","Low",80,90,85,4,157,59.9,108.8,215.2,29642491,0.41,"0.32400000000000001",0.733,0.344,NA,NA,NA
"12","N1","OpenDroneMap",NA,"High","Low",90,4,90,90,154,59.2,125,223.84,29490437,0.186,"0.14299999999999999",0.603,0.298,NA,NA,NA
"13","WA85-02","OpenDroneMap",NA,"High","Lowest",80,4,90,85,144,53.1,95.7,181.93,26115859,0.276,"0.25700000000000001",0.816,0.457,NA,NA,NA
"14","Kaibab_high","OpenDroneMap",NA,"High","Lowest",97,3,90,90,132,55.7,99.8,186.5,23664748,0.202,"0.215",0.818,0.449,NA,NA,NA
"15","Kaibab_low","OpenDroneMap",NA,"High","Lowest",99,4,90,90,153,58.8,106.1,201.29,26427893,5.518,"1.4870000000000001",1.018,0.821,NA,NA,NA
"16","SQ02-04","OpenDroneMap",NA,"High","Lowest",80,90,85,4,157,59.7,108.8,195.31,29078568,0.417,"5.2190000000000003",1.161,0.837,NA,NA,NA
"17","SQ09-02","OpenDroneMap",NA,"High","Lowest",80,4,90,85,157,59.5,112.7,200.02,29502234,0.382,"0.29099999999999998",1.121,0.614,NA,NA,NA
"18","N1","OpenDroneMap",NA,"High","Lowest",90,4,90,90,154,58.8,124.8,208.23,29143075,0.458,"0.38200000000000001",14.732,1.07,NA,NA,NA
"19","Kaibab_low","OpenDroneMap",NA,"High","Medium",99,4,90,90,153,57.4,100.7,265.31,27024762,5.939,"7.9580000000000002",1.109,0.669,NA,NA,NA
"20","WA85-02","OpenDroneMap",NA,"High","Medium",80,4,90,85,144,53,102.6,219.81,27604373,0.284,"0.218",0.756,0.327,NA,NA,NA
"21","SQ09-02","OpenDroneMap",NA,"High","Medium",80,4,90,85,157,59.4,109.1,262.64,30311002,0.112,"9.5000000000000001E-2",0.307,0.161,NA,NA,NA
"22","N1","OpenDroneMap",NA,"High","Medium",90,4,90,90,154,57.9,109.6,260.06,26685319,0.075,"4.9000000000000002E-2",0.216,0.114,NA,NA,NA
"23","SQ02-04","OpenDroneMap",NA,"High","Medium",80,90,85,4,157,59.4,110.1,262.35,30293935,0.234,"0.11899999999999999",0.859,0.209,NA,NA,NA
"24","Kaibab_high","OpenDroneMap",NA,"High","Medium",97,3,90,90,132,54,90,219.29,21595107,0.078,"6.7000000000000004E-2",0.231,0.126,NA,NA,NA
"25","Kaibab_high","OpenDroneMap",NA,"High","Ultra",97,3,90,90,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Kaibab_low","OpenDroneMap",NA,"High","Ultra",99,4,90,90,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","N1","OpenDroneMap",NA,"High","Ultra",90,4,90,90,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","SQ02-04","OpenDroneMap",NA,"High","Ultra",80,90,85,4,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","SQ09-02","OpenDroneMap",NA,"High","Ultra",80,4,90,85,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","WA85-02","OpenDroneMap",NA,"High","Ultra",80,4,90,85,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Kaibab_high","OpenDroneMap",NA,"Low","High",97,3,90,90,132,52.4,23.4,194.96,5099052,0.042,"4.2000000000000003E-2",0.105,0.072,NA,NA,NA
"32","Kaibab_low","OpenDroneMap",NA,"Low","High",99,4,90,90,153,54.1,25.6,249.23,6449647,0.034,"0.11799999999999999",0.101,0.075,NA,NA,NA
"33","WA85-02","OpenDroneMap",NA,"Low","High",80,4,90,85,144,51.3,25.8,187.28,6601531,0.023,"3.3000000000000002E-2",0.077,0.056,NA,NA,NA
"34","N1","OpenDroneMap",NA,"Low","High",90,4,90,90,154,55.8,26.3,306.16,6018483,0.038,"5.3999999999999999E-2",0.149,0.06,NA,NA,NA
"35","SQ09-02","OpenDroneMap",NA,"Low","High",80,4,90,85,157,58.8,28.4,209.06,7600902,0.046,"5.2999999999999999E-2",0.137,0.079,NA,NA,NA
"36","SQ02-04","OpenDroneMap",NA,"Low","High",80,90,85,4,157,58.2,28.6,213.43,7630056,0.959,"1.3109999999999999",0.517,1.604,NA,NA,NA
"37","Kaibab_low","OpenDroneMap",NA,"Low","Low",99,4,90,90,153,55.7,24.7,75.83,5989625,0.357,"0.32100000000000001",0.908,0.317,NA,NA,NA
"38","Kaibab_high","OpenDroneMap",NA,"Low","Low",97,3,90,90,132,53.7,25.2,72.84,5375269,0.192,"0.112",0.579,0.245,NA,NA,NA
"39","WA85-02","OpenDroneMap",NA,"Low","Low",80,4,90,85,144,50.8,25.7,68.23,6540078,0.155,"0.187",0.642,0.318,NA,NA,NA
"40","SQ02-04","OpenDroneMap",NA,"Low","Low",80,90,85,4,157,57.7,27.9,75.33,7238586,2.34,"2.7269999999999999",0.609,0.411,NA,NA,NA
